comment_id,author,text,published_at,like_count
Ugz0l3ZPnBO8VJxH3cJ4AaABAg,@FadliHandayani,Hasil tidak pernah bohong. Ini buktinya. 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 terbaik,2025-05-10T07:29:21Z,0
UgyzWRWk-OsdW5xfsoZ4AaABAg,@DibaBunga,"Setiap spin bermakna, apalagi kalau di 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:46:49Z,0
Ugyrd26vYvzBi_eWwRh4AaABAg,@DestyErvina,"Dengan pendekatan yang benar, hasilnya luar biasa. Thanks 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:44:00Z,0
UgwLOP8jafoCqhmfzsR4AaABAg,@AstriKumalasari-y2x,"Baru login udah dikasih JP, mantap betul 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:08:28Z,0
UgybNjGheFxnr0jz--V4AaABAg,@YaniAnggraeni-u1f,Sangat keren! Meraih kemenangan besar di🚦𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 🚦langsung berlibur ke luar negeri!,2025-05-10T05:35:20Z,0
Ugzd6ZkUnAj75L5O4Qt4AaABAg,@AndrianaIin,🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 memang layak jadi pilihan utama,2025-05-10T05:30:01Z,0
UgyjHx46JdfPKw0wpDJ4AaABAg,@bengal192,NYESEL PILIH PRABOWO,2025-05-10T00:43:29Z,0
Ugx14IVuT6TcikLgtWl4AaABAg,@khaizuranahda,"ekspresinya so iye
pembahasannya walaweee",2025-05-09T20:29:15Z,1
UgwT5_NXIVkC6e4u5AV4AaABAg,@jenifan961,"Yang komen kenapa parah banget literasinya?meski p.wowo lambat dan belibet,dia tetep menjawab dengan benar.

Btw visinya bagus,sayang banget udah terlalu tua jadi kamunikasinya kurang lancar.tetep semangat Indonesia menjadi lebih baik dengan berkembangnya pendidikan dan kemandirian indonesia.",2025-05-09T18:27:16Z,0
UgwWuH7YzAFhFzQKcYF4AaABAg,@surgamakanan,Amin ya rabbal alamiin semoga Allah SWT memudahkan kita untuk bangun Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur,2025-05-09T04:58:18Z,0
Ugw6MDn0v7M9NcdKLvN4AaABAg,@surgamakanan,Amin ya rabbal alamiin semoga Allah SWT memudahkan kita untuk bangun Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia Tere makasih semoga Allah SWT memudahkan,2025-05-09T04:47:36Z,0
UgwTGJNtLiyYJTinbuV4AaABAg,@surgamakanan,Rakyat merdeka kerja sehat dan sehat bergeji kerna pamga nan Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur dan sejahtera lahir batin Hjsri Kemala Dewi Atu mohon maaf lahir batin,2025-05-09T04:42:23Z,0
Ugw3ewwZuf_SCblh3ZR4AaABAg,@surgamakanan,Alhamdulillah makasih presiden membangun rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia,2025-05-09T04:32:46Z,0
UgynMnaDSQT7fi3ZRSd4AaABAg,@usengmercon4765,1:48:06,2025-05-09T01:38:52Z,0
UgzE0LnnlcVrnEXWSbJ4AaABAg,@juranggandul,😊,2025-05-08T20:32:08Z,0
UgxIeaw8hDzoe9hahqZ4AaABAg,@MakmunMaulana-j8v,Kuci likan ka loka lu ciri lu Bangi Gung jawab tu,2025-05-08T11:42:35Z,0
UgyWQqzajDMtwO04KHB4AaABAg,@MakmunMaulana-j8v,Bangi kang tin satu akan bingan seakan jasnni Nina tu kan kan Bangi nah rus tuk sa Ra inonesa kita kokan,2025-05-08T11:40:11Z,0
UgzFqGTBxeMvb3ZeKax4AaABAg,@Kalandra-qk3bl,kok film jumbo gw begini,2025-05-08T08:01:34Z,0
UgwBpiBAPmLFVkSXdDl4AaABAg,@tonisuhartono4766,"🇮🇩
💙💝✌🏻
👍👍👍👍👍👍👍👍👍👍👍👍👍👍",2025-05-08T01:19:06Z,0
UgxGj_4fD-U2hgHAvlB4AaABAg,@NjiAhmad-x8m,Ngelihat komen masih banyak yg sadar ternyata,2025-05-07T20:50:57Z,0
UgyagarwqGdjRiuahbF4AaABAg,@nikozio4981,"Krain maung, Ternyata meow..
Jawaban ga ada yg di jwb",2025-05-07T15:59:39Z,0
Ugz8Chl5ZOmr-hBmmVV4AaABAg,@Beeyourrselff,"Pak prabowo jangan ketularan wakilnya dong, 3 jam ngulang2 bener2 ujian buat saya.",2025-05-07T14:00:17Z,0
UgxjYX04V6EjtioNoW54AaABAg,@fahreeladjie2738,"Dari pandangan saya dan pendapat pribadi saya presiden ini dia gak liat fakta di lapangan , beliau keknya liat nya by data yg dikasih dari circle dan org kepercayaanya, dan keknya tipikal org yg menutup telingan dari pendapat org lain diluar circle / orang kepercayaannya",2025-05-07T10:56:28Z,0
UgxoLv9oxg7hm8aU5WN4AaABAg,@HaikalrfD8,"Baru aja ngeklik, udh ngantuk aja",2025-05-07T09:53:36Z,1
Ugxc-7twJcEt_L7Zk1V4AaABAg,@bayunyakak,"Kan emg dri awal beliu bisanya kerja nyata, g bisa omon2. Awokwowk kerja nyatanya apa bjir",2025-05-07T09:20:09Z,0
Ugxxwu0XqvMMMlxYHu94AaABAg,@Rips-r1y,"Br sanggup melihat video ini, setelahnya bnr2 merasa yakin melihat bahwa Indonesia memang gelap. Eh maaf br sadar bahwa sy lihatnya pas malam hari 😅. Seharusnya sy lihat pas pagi hari, pasti Indonesia cerah 😊",2025-05-06T23:57:42Z,0
UgxPm3D4TKuqbj3aSVx4AaABAg,@jandabaru-l4y,Rakyat Bener 2 nggak Salah Pilih Punya Presiden Seperti PK Prabowo Tegas Berwibawa Dan Benar 2 Berpikir Utuk Rakyat.,2025-05-06T22:43:08Z,0
Ugz-eC9EaXUhVyyOIvR4AaABAg,@taufikrahman6917,Omon omon,2025-05-06T22:11:59Z,0
Ugygpf6opAH44kXCRjB4AaABAg,@SASTRANEGARA92,Jurnalis nya lebih berwibawa dibanding yang duduk di gedung DPR SUMPAH,2025-05-06T18:00:16Z,0
UgwIXq3zy806vFv5w7J4AaABAg,@CandraRama-k8n,Lanjutkan acara diskusi spt ini kami bangga dgn kterbukaan Bpk PS 👍👍👍,2025-05-06T16:50:39Z,0
UgxFThWYsM8jiqtw1DV4AaABAg,@ekaponsel9938,"Bantulah pak jokowi   hentikan masalah inazah palsu , kenapa pak",2025-05-06T08:12:39Z,0
UgzLQxjMeci2HfN36TZ4AaABAg,@evisilvany1049,"jujur ga relate Pak, maaf Bapak cerita negara dan kepemimpinan mana yaa? hmm",2025-05-06T07:58:41Z,0
UgxLlEinkiK94Dh_yNN4AaABAg,@AcaAnastasya,baru menit 2 aja dh males,2025-05-05T21:15:43Z,0
UgykoQL2BZfjWWDegad4AaABAg,@muhammadnurwijaya4663,😂😂😂,2025-05-05T16:08:55Z,0
Ugy5Le6rIvmDhIajOh94AaABAg,@dong5679,Di samarinda lagi viral bandar narkoba ditembak mati sesama bandar.apa kinerja presiden.narkoba di smd lagi marak.,2025-05-05T16:00:21Z,0
UgwYbtSsKMwZB5Sz6Dx4AaABAg,@SapiRangga,Hukum itu harus tegas / kejam .biar jera.,2025-05-05T15:18:36Z,0
UgzFJRVuuEpg_6XIWE54AaABAg,@SugiantoYanto-b8z,Mantap pk prabowo pidatonya maju terus pk presiden,2025-05-05T14:58:06Z,0
Ugxv1mON6OEvXPz-g3l4AaABAg,@taufikhansi4184,"Istiqomah mendukung semua kerja Bapak Presiden : ""Semoga Bapak Presiden Tetap Sehat, Tetap Happy & Tetap Enjoy"". Aamiin.",2025-05-05T14:36:35Z,0
UgxjLnPHShBUVowrntZ4AaABAg,@SumiratEdiSuyitno,Petani sukses bi la pupuk   l  angsung padaangsu angsung Bu 11:17 11:17 11:17,2025-05-05T13:43:24Z,0
UgytXutU2XmmfiozSvd4AaABAg,@Tanggalangit12356,"Pak, mohon pabrik lokal jg di proteksi dr gempuran barang luar terutama barang illegal + serius & ketat dlm sortir produk impor. Semoga indonesia semakin maju. Sehat2 selalu pak prabowo & mbak najwa",2025-05-05T09:53:01Z,0
UgwyxbH1mhGJOV3axrB4AaABAg,@Aminahsiti174,Alhamdulilah tmn2 mba nana orang baik,2025-05-05T06:44:08Z,0
Ugz-u1G0bNQDtoT4b-14AaABAg,@teguhfarhan9982,"Kita hormati hak berdemo, demo itu wajar yang gak wajar mah yang suka minta minta jatah kaya ormas apa lagi sambil ngabisin rendang MH parah banget🤣",2025-05-05T02:21:55Z,0
UgxZXWwuJjoWjBGtrMl4AaABAg,@Suwarno-j9f,Gaas pol Pak Presiden membasmi pungli jang merugikan rakjat kecil 2:26:16,2025-05-04T20:47:37Z,0
