comment_id,author,text,published_at,like_count,cleaned_text,original_length,cleaned_length,word_count
Ugz0l3ZPnBO8VJxH3cJ4AaABAg,@FadliHandayani,Hasil tidak pernah bohong. Ini buktinya. 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 terbaik,2025-05-10T07:29:21Z,0,hasil bohong buktinya terbaik,65,29,4
UgyzWRWk-OsdW5xfsoZ4AaABAg,@DibaBunga,"Setiap spin bermakna, apalagi kalau di 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:46:49Z,0,spin bermakna,55,13,2
Ugyrd26vYvzBi_eWwRh4AaABAg,@DestyErvina,"Dengan pendekatan yang benar, hasilnya luar biasa. Thanks 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:44:00Z,0,pendekatan hasilnya thanks,74,26,3
UgwLOP8jafoCqhmfzsR4AaABAg,@AstriKumalasari-y2x,"Baru login udah dikasih JP, mantap betul 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",2025-05-10T06:08:28Z,0,login udah dikasih mantap,57,25,4
UgybNjGheFxnr0jz--V4AaABAg,@YaniAnggraeni-u1f,Sangat keren! Meraih kemenangan besar di🚦𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 🚦langsung berlibur ke luar negeri!,2025-05-10T05:35:20Z,0,keren meraih kemenangan langsung berlibur negeri,89,48,6
Ugzd6ZkUnAj75L5O4Qt4AaABAg,@AndrianaIin,🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 memang layak jadi pilihan utama,2025-05-10T05:30:01Z,0,layak pilihan utama,48,19,3
UgyjHx46JdfPKw0wpDJ4AaABAg,@bengal192,NYESEL PILIH PRABOWO,2025-05-10T00:43:29Z,0,nyesel pilih prabowo,20,20,3
Ugx14IVuT6TcikLgtWl4AaABAg,@khaizuranahda,"ekspresinya so iye
pembahasannya walaweee",2025-05-09T20:29:15Z,1,ekspresinya iye pembahasannya walaweee,41,38,4
UgwT5_NXIVkC6e4u5AV4AaABAg,@jenifan961,"Yang komen kenapa parah banget literasinya?meski p.wowo lambat dan belibet,dia tetep menjawab dengan benar.

Btw visinya bagus,sayang banget udah terlalu tua jadi kamunikasinya kurang lancar.tetep semangat Indonesia menjadi lebih baik dengan berkembangnya pendidikan dan kemandirian indonesia.",2025-05-09T18:27:16Z,0,komen parah banget literasinya wowo lambat belibet tetep btw visinya bagus sayang banget udah tua kamunikasinya lancar tetep semangat indonesia berkembangnya pendidikan kemandirian indonesia,293,190,24
UgwWuH7YzAFhFzQKcYF4AaABAg,@surgamakanan,Amin ya rabbal alamiin semoga Allah SWT memudahkan kita untuk bangun Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur,2025-05-09T04:58:18Z,0,amin rabbal alamiin semoga allah swt memudahkan bangun indonesia makmur rakyat indonesia mak mur anak cerdas indonesia makmur rakyat indonesia mak mur anak cerdas indonesia makmur,241,179,26
