author,text,like_count,cluster
@FadliHandayani,Hasil tidak pernah bohong. Ini buktinya. 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 terbaik,0,1
@DibaBunga,"Setiap spin bermakna, apalagi kalau di 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",0,1
@DestyErvina,"Dengan pendekatan yang benar, hasilnya luar biasa. Thanks 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",0,1
@AstriKumalasari-y2x,"Baru login udah dikasih JP, mantap betul 🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥",0,1
@YaniAnggraeni-u1f,Sangat keren! Meraih kemenangan besar di🚦𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 🚦langsung berlibur ke luar negeri!,0,1
@AndrianaIin,🔥𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 🔥 memang layak jadi pilihan utama,0,1
@bengal192,NYESEL PILIH PRABOWO,0,1
@khaizuranahda,"ekspresinya so iye
pembahasannya walaweee",1,1
@jenifan961,"Yang komen kenapa parah banget literasinya?meski p.wowo lambat dan belibet,dia tetep menjawab dengan benar.

Btw visinya bagus,sayang banget udah terlalu tua jadi kamunikasinya kurang lancar.tetep semangat Indonesia menjadi lebih baik dengan berkembangnya pendidikan dan kemandirian indonesia.",0,1
@surgamakanan,Amin ya rabbal alamiin semoga Allah SWT memudahkan kita untuk bangun Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur,0,1
@surgamakanan,Amin ya rabbal alamiin semoga Allah SWT memudahkan kita untuk bangun Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia Tere makasih semoga Allah SWT memudahkan,0,1
@surgamakanan,Rakyat merdeka kerja sehat dan sehat bergeji kerna pamga nan Indonesia makmur rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur dan sejahtera lahir batin Hjsri Kemala Dewi Atu mohon maaf lahir batin,0,1
@surgamakanan,Alhamdulillah makasih presiden membangun rakyat Indonesia menuju Mak mur anak cerdas untuk masa depan Indonesia makmur rakyat Indonesia,0,1
@MakmunMaulana-j8v,Kuci likan ka loka lu ciri lu Bangi Gung jawab tu,0,1
@MakmunMaulana-j8v,Bangi kang tin satu akan bingan seakan jasnni Nina tu kan kan Bangi nah rus tuk sa Ra inonesa kita kokan,0,1
@Kalandra-qk3bl,kok film jumbo gw begini,0,1
@NjiAhmad-x8m,Ngelihat komen masih banyak yg sadar ternyata,0,1
@nikozio4981,"Krain maung, Ternyata meow..
Jawaban ga ada yg di jwb",0,1
@Beeyourrselff,"Pak prabowo jangan ketularan wakilnya dong, 3 jam ngulang2 bener2 ujian buat saya.",0,1
@fahreeladjie2738,"Dari pandangan saya dan pendapat pribadi saya presiden ini dia gak liat fakta di lapangan , beliau keknya liat nya by data yg dikasih dari circle dan org kepercayaanya, dan keknya tipikal org yg menutup telingan dari pendapat org lain diluar circle / orang kepercayaannya",0,1
@HaikalrfD8,"Baru aja ngeklik, udh ngantuk aja",1,1
@bayunyakak,"Kan emg dri awal beliu bisanya kerja nyata, g bisa omon2. Awokwowk kerja nyatanya apa bjir",0,1
@Rips-r1y,"Br sanggup melihat video ini, setelahnya bnr2 merasa yakin melihat bahwa Indonesia memang gelap. Eh maaf br sadar bahwa sy lihatnya pas malam hari 😅. Seharusnya sy lihat pas pagi hari, pasti Indonesia cerah 😊",0,1
@jandabaru-l4y,Rakyat Bener 2 nggak Salah Pilih Punya Presiden Seperti PK Prabowo Tegas Berwibawa Dan Benar 2 Berpikir Utuk Rakyat.,0,1
@taufikrahman6917,Omon omon,0,1
@SASTRANEGARA92,Jurnalis nya lebih berwibawa dibanding yang duduk di gedung DPR SUMPAH,0,2
@CandraRama-k8n,Lanjutkan acara diskusi spt ini kami bangga dgn kterbukaan Bpk PS 👍👍👍,0,1
@ekaponsel9938,"Bantulah pak jokowi   hentikan masalah inazah palsu , kenapa pak",0,1
@evisilvany1049,"jujur ga relate Pak, maaf Bapak cerita negara dan kepemimpinan mana yaa? hmm",0,1
@AcaAnastasya,baru menit 2 aja dh males,0,1
@dong5679,Di samarinda lagi viral bandar narkoba ditembak mati sesama bandar.apa kinerja presiden.narkoba di smd lagi marak.,0,0
@SapiRangga,Hukum itu harus tegas / kejam .biar jera.,0,1
@SugiantoYanto-b8z,Mantap pk prabowo pidatonya maju terus pk presiden,0,0
@taufikhansi4184,"Istiqomah mendukung semua kerja Bapak Presiden : ""Semoga Bapak Presiden Tetap Sehat, Tetap Happy & Tetap Enjoy"". Aamiin.",0,0
@SumiratEdiSuyitno,Petani sukses bi la pupuk   l  angsung padaangsu angsung Bu 11:17 11:17 11:17,0,1
@Tanggalangit12356,"Pak, mohon pabrik lokal jg di proteksi dr gempuran barang luar terutama barang illegal + serius & ketat dlm sortir produk impor. Semoga indonesia semakin maju. Sehat2 selalu pak prabowo & mbak najwa",0,1
@Aminahsiti174,Alhamdulilah tmn2 mba nana orang baik,0,1
@teguhfarhan9982,"Kita hormati hak berdemo, demo itu wajar yang gak wajar mah yang suka minta minta jatah kaya ormas apa lagi sambil ngabisin rendang MH parah banget🤣",0,1
@Suwarno-j9f,Gaas pol Pak Presiden membasmi pungli jang merugikan rakjat kecil 2:26:16,0,0
@RagaSimanjuntak,Sehat selalu Pak presiden RI yg 8. Selamat dan sukses pak menuju Indonesia emas . NKRI harga mati .,0,1
@TakaNacita,Presiden giting,0,0
@abdulazis_channel,Astagfirullah semoga gak 11..12,0,1
@asanasan6308,Semua media harus paham seorang pimina negara rakya Indonesia ini  sangat berak dan media harus jga negara Indonesia dan media paham ini semuadi negara❤️🌹sama jga Negar nya,0,1
